index,Building A,Building A,Building A,Building A,Building A,Building A,Building A,Building B,Building B,Building B,Building B,Building B,Building B,Building B,Building C,Building C,Building C,Building C,Building C,Building C,Building C,Building D,Building D,Building D,Building D,Building D,Building D,Building D,Building E,Building E,Building E,Building E,Building E,Building E,Building E,Building F,Building F,Building F,Building F,Building F,Building F,Building F,Development,Development,Development,Development,Development,Development,Development,MLCP,MLCP,MLCP,MLCP,MLCP,MLCP,MLCP,Status,Status,Status,Total,Total,Total,Total,Total,Total,,,,,,
,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,,IN_PROGRESS,PASSED,Pre,During,Post,Reinforcement,Shuttering,Other,During,Other,Post,Pre,Reinforcement,Shuttering
RCC Works: Reinforcements and Shuttering (Column/Staircase/Beam) Mahaveer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
RCC Works: Reinforcements and Shuttering (Slab/Beam) Kritija,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,4,0,2,0,0,1,1,0,0,0,0,1,0,0
RCC Works: Reinforcements and Shuttering (Slab/Staircase/Beam)  Kritija,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,6,17,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,9,7,3,3,0,2,1,7,0,0,0,0,0,0
RCC Works: Reinforcements and Shuttering (Slab/Staircase/Beam) Mahaveer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
TILING- FLOORING WORK. Kusum,0,0,0,0,0,0,0,7,7,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,7,8,2,0,0,0,1,0,0,0,0,0
TILING- FLOORING WORK. Nath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,17,0,0,0,0,0,0,0,0,0,0
TILING- FLOORING WORK. Pandey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,54,6,14,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,33,15,0,0,0,0,0,0,0,1,0,0
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK. Kusum,0,0,0,0,0,0,0,4,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,2,0,0,0,0,0,0,0,0,0,0
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK. Nath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,8,0,0,0,0,0,2,0,0,0
TILING- TOILET DADO WORK. Kusum,0,0,0,0,0,0,0,12,5,2,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,13,5,2,0,0,0,0,0,0,1,0,0
