BaseName,Building,Pre,During,Post,Reinforcement,Shuttering,Other,Total Count
TILING- TOILET DADO WORK,Building D,2,0,0,0,0,0,2
TILING- TOILET DADO WORK,Building E,39,36,13,0,0,0,88
TILING- TOILET DADO WORK,Building F,0,0,0,0,0,0,0
TILING- TOILET DADO WORK,Development,0,0,0,0,0,0,0
TILING- TOILET DADO WORK,MLCP,0,0,0,0,0,0,0
TILING- TOILET DADO WORK,UNKNOWN,2,1,0,0,0,0,3
TILING-KITCHEN PLATFORM WORK WITH S,Building A,0,0,0,0,0,0,0
TILING-KITCHEN PLATFORM WORK WITH S,Building B,45,32,0,0,0,0,77
TILING-KITCHEN PLATFORM WORK WITH S,Building C,5,0,0,0,0,0,5
TILING-KITCHEN PLATFORM WORK WITH S,Building D,0,0,0,0,0,0,0
TILING-KITCHEN PLATFORM WORK WITH S,Building E,7,0,0,0,0,0,7
TILING-KITCHEN PLATFORM WORK WITH S,Building F,0,0,0,0,0,0,0
TILING-KITCHEN PLATFORM WORK WITH S,Development,0,0,0,0,0,0,0
TILING-KITCHEN PLATFORM WORK WITH S,MLCP,0,0,0,0,0,0,0
TILING-KITCHEN PLATFORM WORK WITH S,UNKNOWN,0,0,0,0,0,0,0
UGWT Waterproofing,Building A,0,0,0,0,0,0,0
UGWT Waterproofing,Building B,0,0,0,0,0,0,0
UGWT Waterproofing,Building C,0,0,0,0,0,0,0
UGWT Waterproofing,Building D,0,0,0,0,0,0,0
UGWT Waterproofing,Building E,0,0,0,0,0,0,0
UGWT Waterproofing,Building F,0,0,0,0,0,0,0
UGWT Waterproofing,Development,1,1,1,0,0,0,3
UGWT Waterproofing,MLCP,0,0,0,0,0,0,0
UGWT Waterproofing,UNKNOWN,1,0,0,0,0,0,1
Waterproofing Works,Building A,0,0,0,0,0,0,0
Waterproofing Works,Building B,2,0,0,0,0,0,2
Waterproofing Works,Building C,0,0,0,0,0,0,0
Waterproofing Works,Building D,0,0,0,0,0,0,0
Waterproofing Works,Building E,0,0,0,0,0,0,0
Waterproofing Works,Building F,0,0,0,0,0,0,0
Waterproofing Works,Development,0,0,0,0,0,0,0
Waterproofing Works,MLCP,0,0,0,0,0,0,0
Waterproofing Works,UNKNOWN,0,0,0,0,0,0,0
Waterproofing works,Building A,0,0,0,0,0,0,0
Waterproofing works,Building B,31,0,0,0,0,0,31
Waterproofing works,Building C,1,0,0,0,0,0,1
Waterproofing works,Building D,6,0,0,0,0,0,6
Waterproofing works,Building E,6,6,6,0,0,0,18
Waterproofing works,Building F,0,0,0,0,0,0,0
Waterproofing works,Development,0,0,0,0,0,0,0
Waterproofing works,MLCP,0,0,0,0,0,0,0
Waterproofing works,UNKNOWN,2,2,2,0,0,0,6
,ALL,0,0,0,0,0,1,1
AAC BLOCK WORK,ALL,119,97,87,0,0,0,303
ALLUMINIUM WINDOW AND SLIDING DOOR WORK,ALL,29,21,21,0,0,0,71
Aluform Checklist,ALL,9,7,1,0,0,7,24
BRICK BATT WATERPROOFING,ALL,1,0,0,0,0,0,1
CARPENTRY WORK : DOOR FRAME & SHUTTERS,ALL,19,1,0,0,0,0,20
Conventinal drain piping PVC,ALL,0,0,0,0,0,1,1
Conventional drain piping (V,ALL,2,2,0,0,0,0,4
EXTERNAL PLASTER WORKS-( DOUBLE COAT ),ALL,1,1,0,0,0,0,2
Electrical works,ALL,21,2,1,0,0,0,24
FIRE FIGHTING CHECKLIST,ALL,0,0,0,0,0,1,1
GYPSUM PLASTER WORKS,ALL,39,25,15,0,0,0,79
Gypsum Plaster Works Safat,ALL,25,6,2,0,0,0,33
Internal Plaster,ALL,65,58,50,0,0,0,173
MEP Checklists,ALL,0,0,0,0,0,6,6
PCC (PLAIN CEMENT CONCRETE),ALL,9,8,5,0,0,0,22
PLUMBING WORK-INTERNAL,ALL,16,0,0,0,0,68,84
Painting Works,ALL,124,0,0,0,0,0,124
Painting works,ALL,18,0,0,0,0,0,18
RCC FOOTING WORK,ALL,9,8,2,0,1,0,20
RCC Works,ALL,26,19,6,12,7,8,78
TILING- FLOORING WORK,ALL,86,42,2,0,0,0,130
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK,ALL,15,11,8,0,0,0,34
TILING- TOILET DADO WORK,ALL,86,44,15,0,0,0,145
TILING-KITCHEN PLATFORM WORK WITH S,ALL,57,32,0,0,0,0,89
UGWT Waterproofing,ALL,2,1,1,0,0,0,4
Waterproofing Works,ALL,2,0,0,0,0,0,2
Waterproofing works,ALL,46,8,8,0,0,0,62
